OwnerID,Name,Surname,NIP
1,Susan,Cook,8412552092
2,Eric,Flores,1223078220
3,Luke,Reyes,4308023750
4,Maks,Cooper,3440811548
5,Eric,Wood,6441724532
6,Amy,Stewart,5776884838
7,Peter,Morales,9456203846
8,Luke,Morales,9260491982
9,Marta,Morgan,9761952314
10,Amy,Stewart,2669508213
11,Marta,Cook,6540579366
12,Susan,Morgan,3774416416
13,Eric,Morgan,4555374458
14,Luke,Flores,9078114248
15,Susan,Wood,2209242301
16,Eric,Stewart,8029098706
17,Maks,Cooper,1854754672
18,Maria,Reyes,8804006822
19,Hannah,Wood,7765119523
20,Marta,Bell,9461186941
21,Maria,Cook,8853520611
22,Peter,Flores,1521932948
23,Marta,Stewart,9934564376
24,Maria,Stewart,8878952466
25,Hannah,Bell,9406070270
26,Maria,Bell,2058877527
27,Eric,Cook,7216214202
28,Eric,Cooper,5953757380
29,Peter,Morales,8606896624
30,Peter,Stewart,7067733133
31,Maks,Cooper,5835293385
32,Amy,Reyes,2045896564
33,Luke,Bell,7700436934
34,Susan,Bell,2748657440
35,Luke,Reyes,7004235310
36,Eric,Stewart,8850173970
37,Maria,Reyes,2749868757
38,Maks,Cooper,2550299720
39,Susan,Stewart,4105232160
40,Luke,Cook,7178353301
41,Hannah,Morgan,5598268497
42,Hannah,Wood,1549111535
43,Maks,Reyes,6605429791
44,Luke,Stewart,4863029931
45,Maks,Wood,5771085117
46,Peter,Cooper,3580428106
47,Eric,Cook,8610942356
48,Susan,Clark,3176109204
49,Marta,Reyes,1977975201
50,Eric,Reyes,2772482026
51,Marta,Morales,9358387653
52,Amy,Wood,4337444125
53,Luke,Cook,3493030851
54,Marta,Morgan,8365440184
55,Marta,Stewart,1901914937
56,Peter,Clark,2412294926
57,Peter,Stewart,9344054107
58,Susan,Clark,4713483872
59,Susan,Morgan,8955528567
60,Eric,Cook,5161280459
61,George,Bell,9442873184
62,George,Reyes,2979132584
63,Luke,Bell,5773483344
64,Marta,Clark,2255316915
65,Eric,Cook,7325484003
66,Marta,Bell,6673649918
67,Maks,Reyes,6634723138
68,George,Cook,2646312284
69,Maks,Morales,7514159925
70,Susan,Cooper,3471243353
71,Marta,Clark,4282808828
72,Hannah,Clark,8747604113
73,Hannah,Bell,4461268611
74,Peter,Cook,3419878644
75,Maria,Cooper,7889018152
76,Amy,Cooper,1632148265
77,Maria,Morales,1839158374
78,Peter,Cooper,7748585987
79,Maks,Flores,8353826420
80,Eric,Clark,1613419832
81,Luke,Bell,3397931312
82,Hannah,Morales,5177268959
83,Eric,Morgan,8460781787
84,Marta,Morales,3830674674
85,Hannah,Cook,4386267937
86,Amy,Morales,3829329188
87,Amy,Clark,2838801848
88,Peter,Cooper,6594689499
89,Luke,Cook,6752783509
90,Eric,Reyes,4533651790
91,Maks,Clark,6962841148
92,Marta,Stewart,7879715324
93,Amy,Wood,8440662394
94,George,Morgan,4670559345
95,Peter,Bell,7437215686
96,Luke,Cook,4685511187
97,Luke,Wood,3684294067
98,Marta,Reyes,9565166289
99,Luke,Stewart,2856843943
100,George,Flores,3813250159
